2025-05-27 16:44:58 |     INFO | FLOW | setup_flow_logging:70 | 🚀 INSIGHTS-AI FLOW - LOGGING INICIADO
2025-05-27 16:44:58 |     INFO | FLOW | setup_flow_logging:71 | 📁 Arquivo de log: logs\flow_executions\flow_execution_20250527_164458.log
2025-05-27 16:44:58 |     INFO | FLOW | executar_flow_completo:2216 | 🚀 INICIANDO EXECUÇÃO COMPLETA DO FLOW
2025-05-27 16:44:58 |     INFO | FLOW | __init__:198 | 🔧 Inicializando InsightsFlow...
2025-05-27 16:44:58 |     INFO | FLOW | criar_flow_com_parametros:2208 | 🏗️ Flow criado: 2023-05-28 a 2025-05-27 (modo: completo)
2025-05-27 16:44:58 |     INFO | FLOW | inicializar_flow:208 | 🚀 INICIANDO INSIGHTS-AI FLOW
2025-05-27 16:44:58 |     INFO | FLOW | inicializar_flow:209 | ============================================================
2025-05-27 16:44:58 |     INFO | FLOW | inicializar_flow:225 | ✅ Datas validadas: 2023-05-28 a 2025-05-27
2025-05-27 16:44:58 |     INFO | FLOW | inicializar_flow:233 | 📅 Período de análise: 2023-05-28 até 2025-05-27
2025-05-27 16:44:58 |     INFO | FLOW | inicializar_flow:234 | 🔧 Modo de execução: completo
2025-05-27 16:44:58 |     INFO | FLOW | inicializar_flow:235 | 🆔 Flow ID: flow_20250527_164458
2025-05-27 16:44:58 |     INFO | FLOW | inicializar_flow:243 | 🚀 Etapa 3 - Sistemas avançados inicializados
2025-05-27 16:44:58 |     INFO | FLOW | inicializar_flow:251 | ✅ Inicialização concluída - Preparando extração de dados
2025-05-27 16:44:58 |     INFO | FLOW | extrair_e_processar_dados:260 | 🔧 INICIANDO EXTRAÇÃO DE DADOS
2025-05-27 16:44:58 |     INFO | FLOW | extrair_e_processar_dados:261 | ----------------------------------------
2025-05-27 16:44:58 |     INFO | FLOW | extrair_e_processar_dados:278 | 🏗️ Criando crew do Engenheiro de Dados...
2025-05-27 16:44:58 |     INFO | FLOW | extrair_e_processar_dados:290 | 📊 Executando extração com inputs: {'data_inicio': '2023-05-28', 'data_fim': '2025-05-27'}
