2025-05-27 16:18:52 |     INFO | FLOW | setup_flow_logging:70 | 🚀 INSIGHTS-AI FLOW - LOGGING INICIADO
2025-05-27 16:18:52 |     INFO | FLOW | setup_flow_logging:71 | 📁 Arquivo de log: logs\flow_executions\flow_execution_20250527_161852.log
2025-05-27 16:18:52 |     INFO | FLOW | __init__:198 | 🔧 Inicializando InsightsFlow...
2025-05-27 16:18:52 |     INFO | FLOW | criar_flow_com_parametros:2208 | 🏗️ Flow criado: 2021-05-28 a 2025-05-27 (modo: completo)
2025-05-27 16:18:52 |     INFO | FLOW | inicializar_flow:208 | 🚀 INICIANDO INSIGHTS-AI FLOW
2025-05-27 16:18:52 |     INFO | FLOW | inicializar_flow:209 | ============================================================
2025-05-27 16:18:52 |     INFO | FLOW | inicializar_flow:225 | ✅ Datas validadas: 2021-05-28 a 2025-05-27
2025-05-27 16:18:52 |     INFO | FLOW | inicializar_flow:233 | 📅 Período de análise: 2021-05-28 até 2025-05-27
2025-05-27 16:18:52 |     INFO | FLOW | inicializar_flow:234 | 🔧 Modo de execução: completo
2025-05-27 16:18:52 |     INFO | FLOW | inicializar_flow:235 | 🆔 Flow ID: flow_20250527_161852
2025-05-27 16:18:52 |     INFO | FLOW | inicializar_flow:243 | 🚀 Etapa 3 - Sistemas avançados inicializados
2025-05-27 16:18:52 |     INFO | FLOW | inicializar_flow:251 | ✅ Inicialização concluída - Preparando extração de dados
