2025-05-27 16:24:01 |     INFO | FLOW | setup_flow_logging:70 | 🚀 INSIGHTS-AI FLOW - LOGGING INICIADO
2025-05-27 16:24:01 |     INFO | FLOW | setup_flow_logging:71 | 📁 Arquivo de log: logs\flow_executions\flow_execution_20250527_162401.log
2025-05-27 16:24:01 |     INFO | FLOW | __init__:198 | 🔧 Inicializando InsightsFlow...
2025-05-27 16:24:01 |     INFO | FLOW | criar_flow_com_parametros:2208 | 🏗️ Flow criado: 2021-05-28 a 2025-05-27 (modo: completo)
2025-05-27 16:24:01 |     INFO | FLOW | inicializar_flow:208 | 🚀 INICIANDO INSIGHTS-AI FLOW
2025-05-27 16:24:01 |     INFO | FLOW | inicializar_flow:209 | ============================================================
2025-05-27 16:24:01 |     INFO | FLOW | inicializar_flow:225 | ✅ Datas validadas: 2021-05-28 a 2025-05-27
2025-05-27 16:24:01 |     INFO | FLOW | inicializar_flow:233 | 📅 Período de análise: 2021-05-28 até 2025-05-27
2025-05-27 16:24:01 |     INFO | FLOW | inicializar_flow:234 | 🔧 Modo de execução: completo
2025-05-27 16:24:01 |     INFO | FLOW | inicializar_flow:235 | 🆔 Flow ID: flow_20250527_162401
2025-05-27 16:24:01 |     INFO | FLOW | inicializar_flow:243 | 🚀 Etapa 3 - Sistemas avançados inicializados
2025-05-27 16:24:01 |     INFO | FLOW | inicializar_flow:251 | ✅ Inicialização concluída - Preparando extração de dados
2025-05-27 16:24:01 |     INFO | FLOW | extrair_e_processar_dados:260 | 🔧 INICIANDO EXTRAÇÃO DE DADOS
2025-05-27 16:24:01 |     INFO | FLOW | extrair_e_processar_dados:261 | ----------------------------------------
2025-05-27 16:24:01 |     INFO | FLOW | extrair_e_processar_dados:278 | 🏗️ Criando crew do Engenheiro de Dados...
2025-05-27 16:24:01 |     INFO | FLOW | extrair_e_processar_dados:290 | 📊 Executando extração com inputs: {'data_inicio': '2021-05-28', 'data_fim': '2025-05-27'}
2025-05-27 16:25:46 |     INFO | FLOW | extrair_e_processar_dados:326 | ✅ EXTRAÇÃO CONCLUÍDA em 105.04s
2025-05-27 16:25:46 |     INFO | FLOW | extrair_e_processar_dados:327 | 📊 Qualidade dos dados: 88.0/100
2025-05-27 16:25:46 |     INFO | FLOW | extrair_e_processar_dados:328 | 📁 Total de registros: 25000
2025-05-27 16:25:46 |     INFO | FLOW | validar_resultado_extracao:355 | 🔍 Validando resultado da extração...
2025-05-27 16:25:46 |     INFO | FLOW | validar_resultado_extracao:360 | ✅ Dados com qualidade adequada - Prosseguindo com análises
2025-05-27 16:25:46 |     INFO | FLOW | executar_analise_tendencias:436 | 📈 INICIANDO ANÁLISE DE TENDÊNCIAS
2025-05-27 16:25:46 |     INFO | FLOW | executar_analise_tendencias:437 | ----------------------------------------
2025-05-27 16:25:46 |     INFO | FLOW | executar_analise_tendencias:453 | 🏗️ Criando crew do Analista de Tendências...
2025-05-27 16:25:46 |     INFO | FLOW | executar_analise_tendencias:467 | 📊 Executando análise de tendências com inputs: {'data_inicio': '2021-05-28', 'data_fim': '2025-05-27', 'qualidade_dados': {'total_registros': 25000, 'completude_percent': 95.0, 'consistencia_percent': 92.0, 'score_confiabilidade': 88.0, 'anomalias_detectadas': 3, 'gaps_temporais': 1}, 'focus': 'tendencias_mercado'}
2025-05-27 16:27:22 |     INFO | FLOW | executar_analise_tendencias:501 | 📁 ✅ Arquivo CSV criado: output/analise_tendencias_flow_20250527_162401.csv
2025-05-27 16:27:22 |     INFO | FLOW | executar_analise_tendencias:515 | ✅ ANÁLISE DE TENDÊNCIAS CONCLUÍDA em 95.77s
2025-05-27 16:27:22 |     INFO | FLOW | executar_analise_tendencias:516 | 📊 Confidence Score: 90.0/100
2025-05-27 16:27:22 |     INFO | FLOW | executar_analise_sazonalidade:552 | 🌊 INICIANDO ANÁLISE DE SAZONALIDADE
2025-05-27 16:27:22 |     INFO | FLOW | executar_analise_sazonalidade:553 | ----------------------------------------
2025-05-27 16:27:22 |     INFO | FLOW | executar_analise_sazonalidade:569 | 🏗️ Criando crew do Analista de Sazonalidade...
2025-05-27 16:27:22 |     INFO | FLOW | executar_analise_sazonalidade:583 | 📊 Executando análise de sazonalidade com inputs: {'data_inicio': '2021-05-28', 'data_fim': '2025-05-27', 'qualidade_dados': {'total_registros': 25000, 'completude_percent': 95.0, 'consistencia_percent': 92.0, 'score_confiabilidade': 88.0, 'anomalias_detectadas': 3, 'gaps_temporais': 1}, 'focus': 'padroes_sazonais'}
2025-05-27 16:27:22 |    ERROR | FLOW | executar_analise_sazonalidade:650 | ❌ Erro na análise de sazonalidade: 'CrewBase(Insights)' object has no attribute 'analista_sazonalidade'
2025-05-27 16:27:22 |     INFO | FLOW | executar_analise_inventario:668 | 📦 INICIANDO ANÁLISE DE INVENTÁRIO
2025-05-27 16:27:22 |     INFO | FLOW | executar_analise_inventario:669 | ----------------------------------------
2025-05-27 16:27:22 |     INFO | FLOW | executar_analise_inventario:685 | 🏗️ Criando crew do Analista de Inventário...
2025-05-27 16:27:22 |     INFO | FLOW | executar_analise_inventario:699 | 📊 Executando análise de inventário com inputs: {'data_inicio': '2021-05-28', 'data_fim': '2025-05-27', 'qualidade_dados': {'total_registros': 25000, 'completude_percent': 95.0, 'consistencia_percent': 92.0, 'score_confiabilidade': 88.0, 'anomalias_detectadas': 3, 'gaps_temporais': 1}, 'focus': 'gestao_inventario'}
