2025-05-27 15:54:19 |     INFO | FLOW | setup_flow_logging:69 | 🚀 INSIGHTS-AI FLOW - LOGGING INICIADO
2025-05-27 15:54:19 |     INFO | FLOW | setup_flow_logging:70 | 📁 Arquivo de log: logs\flow_executions\flow_execution_20250527_155419.log
2025-05-27 15:54:19 |     INFO | FLOW | __init__:175 | 🔧 Inicializando InsightsFlow...
2025-05-27 15:54:19 |     INFO | FLOW | criar_flow_com_parametros:1058 | 🏗️ Flow criado: 2025-01-20 a 2025-01-27 (modo: completo)
2025-05-27 15:54:19 |     INFO | FLOW | inicializar_flow:185 | 🚀 INICIANDO INSIGHTS-AI FLOW
2025-05-27 15:54:19 |     INFO | FLOW | inicializar_flow:186 | ============================================================
2025-05-27 15:54:19 |     INFO | FLOW | inicializar_flow:202 | ✅ Datas validadas: 2025-01-20 a 2025-01-27
2025-05-27 15:54:19 |     INFO | FLOW | inicializar_flow:210 | 📅 Período de análise: 2025-01-20 até 2025-01-27
2025-05-27 15:54:19 |     INFO | FLOW | inicializar_flow:211 | 🔧 Modo de execução: completo
2025-05-27 15:54:19 |     INFO | FLOW | inicializar_flow:212 | 🆔 Flow ID: flow_20250527_155419
2025-05-27 15:54:19 |     INFO | FLOW | inicializar_flow:217 | ✅ Inicialização concluída - Preparando extração de dados
2025-05-27 15:54:19 |     INFO | FLOW | extrair_e_processar_dados:226 | 🔧 INICIANDO EXTRAÇÃO DE DADOS
2025-05-27 15:54:19 |     INFO | FLOW | extrair_e_processar_dados:227 | ----------------------------------------
2025-05-27 15:54:19 |     INFO | FLOW | extrair_e_processar_dados:244 | 🏗️ Criando crew do Engenheiro de Dados...
2025-05-27 15:54:20 |     INFO | FLOW | extrair_e_processar_dados:256 | 📊 Executando extração com inputs: {'data_inicio': '2025-01-20', 'data_fim': '2025-01-27'}
2025-05-27 15:56:00 |     INFO | FLOW | extrair_e_processar_dados:292 | ✅ EXTRAÇÃO CONCLUÍDA em 100.80s
2025-05-27 15:56:00 |     INFO | FLOW | extrair_e_processar_dados:293 | 📊 Qualidade dos dados: 88.0/100
2025-05-27 15:56:00 |     INFO | FLOW | extrair_e_processar_dados:294 | 📁 Total de registros: 25000
2025-05-27 15:56:00 |     INFO | FLOW | validar_resultado_extracao:321 | 🔍 Validando resultado da extração...
2025-05-27 15:56:00 |     INFO | FLOW | validar_resultado_extracao:326 | ✅ Dados com qualidade adequada - Prosseguindo com análises
2025-05-27 15:56:01 |     INFO | FLOW | executar_analise_tendencias:402 | 📈 INICIANDO ANÁLISE DE TENDÊNCIAS
2025-05-27 15:56:01 |     INFO | FLOW | executar_analise_tendencias:403 | ----------------------------------------
2025-05-27 15:56:01 |     INFO | FLOW | executar_analise_tendencias:419 | 🏗️ Criando crew do Analista de Tendências...
2025-05-27 15:56:01 |     INFO | FLOW | executar_analise_tendencias:433 | 📊 Executando análise de tendências com inputs: {'data_inicio': '2025-01-20', 'data_fim': '2025-01-27', 'qualidade_dados': {'total_registros': 25000, 'completude_percent': 95.0, 'consistencia_percent': 92.0, 'score_confiabilidade': 88.0, 'anomalias_detectadas': 3, 'gaps_temporais': 1}, 'focus': 'tendencias_mercado'}
2025-05-27 15:58:13 |     INFO | FLOW | executar_analise_tendencias:467 | 📁 ✅ Arquivo CSV criado: output/analise_tendencias_flow_20250527_155419.csv
2025-05-27 15:58:13 |     INFO | FLOW | executar_analise_tendencias:481 | ✅ ANÁLISE DE TENDÊNCIAS CONCLUÍDA em 132.82s
2025-05-27 15:58:13 |     INFO | FLOW | executar_analise_tendencias:482 | 📊 Confidence Score: 90.0/100
2025-05-27 15:58:13 |     INFO | FLOW | executar_analise_sazonalidade:508 | 🌊 INICIANDO ANÁLISE DE SAZONALIDADE
2025-05-27 15:58:13 |     INFO | FLOW | executar_analise_sazonalidade:509 | ----------------------------------------
2025-05-27 15:58:13 |     INFO | FLOW | executar_analise_sazonalidade:525 | 🏗️ Criando crew do Analista de Sazonalidade...
2025-05-27 15:58:14 |     INFO | FLOW | executar_analise_sazonalidade:539 | 📊 Executando análise de sazonalidade com inputs: {'data_inicio': '2025-01-20', 'data_fim': '2025-01-27', 'qualidade_dados': {'total_registros': 25000, 'completude_percent': 95.0, 'consistencia_percent': 92.0, 'score_confiabilidade': 88.0, 'anomalias_detectadas': 3, 'gaps_temporais': 1}, 'focus': 'padroes_sazonais'}
2025-05-27 15:58:14 |    ERROR | FLOW | executar_analise_sazonalidade:596 | ❌ Erro na análise de sazonalidade: 'CrewBase(Insights)' object has no attribute 'analista_sazonalidade'
2025-05-27 15:58:14 |     INFO | FLOW | executar_analise_segmentos:614 | 👥 INICIANDO ANÁLISE DE SEGMENTOS
2025-05-27 15:58:14 |     INFO | FLOW | executar_analise_segmentos:615 | ----------------------------------------
2025-05-27 15:58:14 |     INFO | FLOW | executar_analise_segmentos:631 | 🏗️ Criando crew do Analista de Segmentação...
2025-05-27 15:58:14 |     INFO | FLOW | executar_analise_segmentos:645 | 📊 Executando análise de segmentos com inputs: {'data_inicio': '2025-01-20', 'data_fim': '2025-01-27', 'qualidade_dados': {'total_registros': 25000, 'completude_percent': 95.0, 'consistencia_percent': 92.0, 'score_confiabilidade': 88.0, 'anomalias_detectadas': 3, 'gaps_temporais': 1}, 'focus': 'segmentacao_clientes'}
2025-05-27 15:58:14 |    ERROR | FLOW | executar_analise_segmentos:702 | ❌ Erro na análise de segmentos: 'CrewBase(Insights)' object has no attribute 'analista_segmentacao'
