2025-05-29 15:29:25 |     INFO | crew_insights | setup_crew_file_logging:103 | ================================================================================
2025-05-29 15:29:25 |     INFO | crew_insights | setup_crew_file_logging:104 | 🚀 INSIGHTS-AI CREW - LOGGING INICIADO
2025-05-29 15:29:25 |     INFO | crew_insights | setup_crew_file_logging:105 | 📁 Arquivo de log: logs\crew_executions\crew_execution_20250529_152925.log
2025-05-29 15:29:25 |     INFO | crew_insights | setup_crew_file_logging:106 | 🕒 Execução iniciada em: 2025-05-29 15:29:25
2025-05-29 15:29:25 |     INFO | crew_insights | setup_crew_file_logging:107 | ================================================================================
2025-05-29 15:29:25 |     INFO | crew_insights | __init__:174 | ✅ Sistema de logging em arquivo configurado com sucesso
2025-05-29 15:29:25 |     INFO | crew_insights | __init__:181 | 🔧 Integrando com sistema COMPLETAMENTE centralizado de ferramentas...
2025-05-29 15:29:25 |     INFO | crew_insights | validate_centralized_system:139 | 🔧 SISTEMA CENTRALIZADO VALIDADO:
2025-05-29 15:29:25 |     INFO | crew_insights | validate_centralized_system:140 |    • Total de ferramentas: 17
2025-05-29 15:29:25 |     INFO | crew_insights | validate_centralized_system:141 |    • Categorias disponíveis: 13
2025-05-29 15:29:25 |     INFO | crew_insights | validate_centralized_system:142 |    • Integrações configuradas: 7
2025-05-29 15:29:25 |     INFO | crew_insights | validate_centralized_system:143 |    • Agentes mapeados: 11
2025-05-29 15:29:25 |     INFO | crew_insights | validate_centralized_system:144 |    • Migrações documentadas: 26
2025-05-29 15:29:25 |     INFO | crew_insights | validate_centralized_system:145 |    • Ferramentas funcionando: 17/17 (100.0%)
2025-05-29 15:29:25 |     INFO | crew_insights | validate_centralized_system:149 |    • Integrações habilitadas: 6/6
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:398 | 📊 SISTEMA TOOLS_CONFIG_V3 EXPANDIDO:
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:399 |    • Total de ferramentas: 17
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:400 |    • Categorias disponíveis: 13
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:401 |    • Integrações configuradas: 7
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:402 |    • Agentes mapeados: 11
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:403 |    • Migrações documentadas: 26
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:408 |    • Integrações habilitadas: 6/6
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:414 |      - basic_tools: 5 ferramentas
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:414 |      - advanced_ai: 5 ferramentas
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:414 |      - data_export: 4 ferramentas
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:414 |      - financial_analysis: 5 ferramentas
2025-05-29 15:29:25 |     INFO | crew_insights | _log_advanced_tools_config_info:414 |      - customer_analysis: 4 ferramentas
2025-05-29 15:29:25 |     INFO | crew_insights | validate_tools_setup_quiet:816 | 🔧 Sistema Tools Config V3 Expandido:
2025-05-29 15:29:25 |     INFO | crew_insights | validate_tools_setup_quiet:817 |    • Ferramentas carregadas: 17
2025-05-29 15:29:25 |     INFO | crew_insights | validate_tools_setup_quiet:818 |    • Categorias disponíveis: 13
2025-05-29 15:29:25 |     INFO | crew_insights | validate_tools_setup_quiet:819 |    • Integrações configuradas: 7
2025-05-29 15:29:25 |     INFO | crew_insights | validate_tools_setup_quiet:820 |    • Agentes mapeados: 11
2025-05-29 15:29:25 |     INFO | crew_insights | validate_tools_setup_quiet:826 | ✅ Sistema expandido validado: 17/17 funcionando (100.0%)
2025-05-29 15:29:25 |     INFO | crew_insights | setup_logging_callbacks:313 | 🔧 Configurando callbacks de monitoramento...
2025-05-29 15:29:25 |     INFO | crew_insights | setup_logging_callbacks:317 |    • Handlers ativos: ['FileHandler', 'StreamHandler']
2025-05-29 15:29:25 |     INFO | crew_insights | setup_logging_callbacks:320 |    • Arquivo de log: logs\crew_executions\crew_execution_20250529_152925.log
2025-05-29 15:29:25 |     INFO | crew_insights | _log_system_info:286 | 🖥️ INFORMAÇÕES DO SISTEMA:
2025-05-29 15:29:25 |     INFO | crew_insights | _log_system_info:287 |    • OS: Windows 11
2025-05-29 15:29:25 |     INFO | crew_insights | _log_system_info:288 |    • Python: 3.12.10
2025-05-29 15:29:25 |     INFO | crew_insights | _log_system_info:289 |    • Working Directory: C:\Users\jean.moura\Documents\Python\CrewAI\insights-ai
2025-05-29 15:29:25 |     INFO | crew_insights | _log_system_info:290 |    • Process ID: 10316
2025-05-29 15:29:25 |     INFO | crew_insights | _log_system_info:294 | 🔑 VARIÁVEIS DE AMBIENTE:
2025-05-29 15:29:25 |  WARNING | crew_insights | _log_system_info:304 |    • INSIGHTS_DEBUG: NÃO DEFINIDA
2025-05-29 15:29:25 |     INFO | crew_insights | _log_system_info:300 |    • OPENROUTER_API_KEY: sk-or-v1...a957
2025-05-29 15:29:25 |     INFO | crew_insights | _log_system_info:306 | --------------------------------------------------
2025-05-29 15:29:25 |     INFO | crew_insights | engenheiro_dados:493 | 🔧 Inicializando Engenheiro de Dados via sistema centralizado...
2025-05-29 15:29:25 |     INFO | crew_insights | engenheiro_dados:497 |    • Ferramentas configuradas: ['SQLServerQueryTool', 'FileReadTool', 'BusinessIntelligenceTool']
